,fake,cross,risk,atr,freq
0,1.0,2.12,0.94,0.65,0.25
1,1.0,1.83,0.83,0.66,0.25
2,1.0,1.5,0.64,0.68,0.25
3,1.0,1.59,0.62,0.7,0.25
4,1.0,1.48,0.66,0.67,0.25
5,1.0,1.98,0.6,0.7,0.25
6,1.0,1.57,0.58,0.74,0.25
7,1.0,1.54,0.59,0.74,0.25
8,1.0,1.59,0.59,0.73,0.25
9,1.0,1.52,0.54,1.2,1.0
10,1.0,1.51,0.55,1.14,0.75
11,1.0,1.28,0.9,0.67,0.25
12,1.0,1.35,0.6,0.71,0.25
13,1.0,1.29,0.56,0.85,0.25
14,1.0,1.21,0.58,0.88,0.25
15,1.0,1.25,0.56,0.93,0.75
16,1.0,1.23,0.56,0.84,1.0
17,1.0,1.22,0.94,0.68,0.25
18,1.0,1.16,0.68,0.69,0.25
19,1.0,1.1,0.62,0.81,0.25
20,1.0,1.18,0.63,0.75,0.25
21,1.0,1.14,0.57,0.94,1.0
22,1.0,1.13,0.57,1.1,1.25
23,1.0,1.11,0.8,0.71,0.25
24,1.0,1.1,0.66,0.78,0.25
25,1.0,1.14,0.66,0.71,0.25
26,1.0,1.07,0.86,0.76,0.25
27,1.0,1.03,0.63,1.1,0.75
28,1.0,1.0,1.0,1.0,1.0
