id,fake,cross,risk,atr,freq
0,1,2.12,0.94,0.65,0.25
1,1,1.83,0.83,0.66,0.25
2,1,1.56,0.70,0.66,0.25
3,1,1.50,0.64,0.68,0.25
4,1,1.59,0.62,0.70,0.25
5,1,1.48,0.66,0.67,0.25
6,1,1.98,0.60,0.70,0.25
7,1,1.57,0.58,0.74,0.25
8,1,1.54,0.59,0.74,0.25
9,1,1.59,0.59,0.73,0.25
10,1,1.52,0.54,1.20,1.00
11,1,1.51,0.55,1.14,0.75
12,1,1.28,0.90,0.67,0.25
13,1,1.21,0.82,0.68,0.25
14,1,1.12,0.66,0.70,0.25
15,1,1.10,0.67,0.70,0.25
16,1,1.35,0.60,0.71,0.25
17,1,1.39,0.62,0.69,0.25
18,1,1.29,0.56,0.85,0.25
19,1,1.21,0.58,0.88,0.25
20,1,1.25,0.56,0.93,0.75
21,1,1.23,0.56,0.84,1.00
22,1,1.18,0.86,0.67,0.25
23,1,1.22,0.94,0.68,0.25
24,1,1.16,0.68,0.69,0.25
25,1,1.16,0.68,0.69,0.25
26,1,1.10,0.62,0.81,0.25
27,1,1.18,0.63,0.75,0.25
28,1,1.14,0.57,0.94,1.00
29,1,1.13,0.57,1.10,1.25
30,1,1.11,0.80,0.71,0.25
31,1,1.15,0.89,0.68,0.25
32,1,1.10,0.66,0.78,0.25
33,1,1.14,0.66,0.71,0.25
34,1,01.03,0.61,1.00,0.75
35,1,1.12,0.55,1.06,1.00
36,1,01.07,0.86,0.76,0.25
37,1,01.07,0.86,0.76,0.25
38,1,01.03,0.63,1.10,0.75
39,1,01.03,0.63,0.99,0.75
40,1,1.00,1.00,1.00,1.00
41,1,1.00,1.00,1.00,1.00
